"sc-gMacIw","sc-gMacIw 2","sc-gMacIw 3","sc-gMacIw 4","sc-gMacIw 5","sc-gMacIw 6"
"Chad","TCD","School life expectancy, primary and secondary, both sexes (years)","UIS.SLE.123","3.494029999","1990"
"Chad","TCD","Survival rate to Grade 4 of primary education, both sexes (%)","UIS.SR.1.G4","65.433677673","2000"
"Chad","TCD","Survival rate to Grade 4 of primary education, both sexes (%)","UIS.SR.1.G4","65.519889832","1999"
"Chad","TCD","Survival rate to Grade 4 of primary education, both sexes (%)","UIS.SR.1.G4","62.610980988","2012"
"Chad","TCD","Survival rate to Grade 4 of primary education, both sexes (%)","UIS.SR.1.G4","33.442180634","1974"
"Chad","TCD","Teachers in tertiary education ISCED 5 programmes, female (number)","UIS.T.5.B.F","3","2000"
"Chad","TCD","Official entrance age to pre-primary education (years)","UIS.THAGE.0","3","2015"
"Chad","TCD","Official entrance age to pre-primary education (years)","UIS.THAGE.0","3","1997"
"Chad","TCD","Official entrance age to pre-primary education (years)","UIS.THAGE.0","3","1974"
"Chad","TCD","Official entrance age to pre-primary education (years)","UIS.THAGE.0","3","2009"
"Chad","TCD","Theoretical duration of pre-primary education (years)","UIS.THDUR.0","3","1995"
"Chad","TCD","Theoretical duration of pre-primary education (years)","UIS.THDUR.0","3","1982"
"Chad","TCD","Theoretical duration of pre-primary education (years)","UIS.THDUR.0","3","2004"
"Chad","TCD","Theoretical duration of pre-primary education (years)","UIS.THDUR.0","3","2003"
"Chad","TCD","Theoretical duration of pre-primary education (years)","UIS.THDUR.0","3","1972"
"Chad","TCD","Theoretical duration of pre-primary education (years)","UIS.THDUR.0","3","1991"
