"sc-gMacIw","sc-gMacIw 2","sc-gMacIw 3","sc-gMacIw 4","sc-gMacIw 5","sc-gMacIw 6"
"Aruba","ABW","Gross enrolment ratio, pre-primary, both sexes (%)","SE.PRE.ENRR","104.462631226","2010"
"Aruba","ABW","Net enrolment rate, pre-primary, both sexes (%)","SE.PRE.NENR","88.819229126","2004"
"Aruba","ABW","Net enrolment rate, pre-primary, both sexes (%)","SE.PRE.NENR","98.624702454","2008"
"Aruba","ABW","Net enrolment rate, pre-primary, both sexes (%)","SE.PRE.NENR","90.88104248","2003"
"Aruba","ABW","Teachers in pre-primary education, both sexes (number)","SE.PRE.TCHR","105","1999"
"Aruba","ABW","Official entrance age to primary education (years)","SE.PRM.AGES","6","1989"
"Aruba","ABW","Official entrance age to primary education (years)","SE.PRM.AGES","6","2001"
"Aruba","ABW","Official entrance age to primary education (years)","SE.PRM.AGES","6","1999"
"Aruba","ABW","Official entrance age to primary education (years)","SE.PRM.AGES","6","1990"
"Aruba","ABW","Official entrance age to primary education (years)","SE.PRM.AGES","6","1978"
"Aruba","ABW","Official entrance age to primary education (years)","SE.PRM.AGES","6","1987"
"Aruba","ABW","Official entrance age to primary education (years)","SE.PRM.AGES","6","1970"
"Aruba","ABW","Official entrance age to primary education (years)","SE.PRM.AGES","6","1976"
"Aruba","ABW","Theoretical duration of primary education (years)","SE.PRM.DURS","6","2010"
"Chad","TCD","Repetition rate in primary education (all grades), both sexes (%)","UIS.REPR.1","33.95748","1974"
"Chad","TCD","School life expectancy, primary and lower secondary, both sexes (years)","UIS.SLE.12","6.618060112","2011"
"Chad","TCD","School life expectancy, primary and lower secondary, both sexes (years)","UIS.SLE.12","5.269330025","2004"
"Chad","TCD","School life expectancy, primary and lower secondary, both sexes (years)","UIS.SLE.12","6.681359768","2012"
"Chad","TCD","School life expectancy, secondary, both sexes (years)","UIS.SLE.23","0.1523","1974"
"Chad","TCD","School life expectancy, secondary, both sexes (years)","UIS.SLE.23","1.017760038","2002"
"Chad","TCD","School life expectancy, secondary, both sexes (years)","UIS.SLE.23","0.749759972","1998"
"Chad","TCD","School life expectancy, secondary, both sexes (years)","UIS.SLE.23","0.516099989","1990"
"Chad","TCD","School life expectancy, secondary, both sexes (years)","UIS.SLE.23","1.613929987","2009"
"Chad","TCD","School life expectancy, tertiary, both sexes (years)","UIS.SLE.56","0.111050002","2011"
"Chad","TCD","Teachers in secondary vocational education, both sexes (number)","UIS.T.23.V","345","2001"
"Chad","TCD","Percentage of students enrolled in primary education who are under-age, both sexes (%)","UIS.UAEP.1","1.750659943","2002"
"Chad","TCD","Duration of compulsory education (years)","SE.COM.DURS","6","2004"
"Chad","TCD","Duration of compulsory education (years)","SE.COM.DURS","10","2009"
"Chad","TCD","Duration of compulsory education (years)","SE.COM.DURS","6","1998"
"Chad","TCD","Enrolment in pre-primary education, both sexes (number)","SE.PRE.ENRL","1152","1972"
"Chad","TCD","Enrolment in pre-primary education, both sexes (number)","SE.PRE.ENRL","22347","2011"
"Chad","TCD","Enrolment in pre-primary education, both sexes (number)","SE.PRE.ENRL","1673","1995"
"Chad","TCD","Gross enrolment ratio, pre-primary, both sexes (%)","SE.PRE.ENRR","0.805549979","2013"
